accession	description
"SRR18591245"	"Illumina NovaSeq 6000 sequencing: resequence of Fagus crenata"
"SRR18591290"	"Illumina NovaSeq 6000 sequencing: resequence of Fagus crenata"
"SRR18591291"	"Illumina NovaSeq 6000 sequencing: resequence of Fagus crenata"
"SRR8607413"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-9"
"SRR8607414"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-10"
"SRR8776267"	"Illumina HiSeq 2000 sequencing: WGS reads of Fagus crenata: GEN-3"
"SRR8607405"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-7"
"SRR8607406"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-8"
"SRR8607407"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-10"
"SRR8607410"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-9"
"SRR8607409"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-8"
"SRR8607411"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-6"
"SRR8607412"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2013-7"
"SRR8607408"	"Illumina HiSeq 2500 sequencing: RNA-seq of Fagus crenata: 2014-6"
"DRR013927"	"Illumina HiSeq 2000 sequencing: SuperSAGE analysis between nitrogen fertilized samples and control in Fagus crenata"
